Region,Vaccine,Year,Percentage
Western Europe,DTP3,1998,93
Western Europe,HEPB3,1998,46
Western Europe,HIB3,1998,62
Western Europe,MCV1,1998,86
Western Europe,POL3,1998,95
Western Europe,RCV1,1998,86
Western Europe,BCG,1999,86
Western Europe,DTP1,1999,98
Western Europe,DTP3,1999,95
Western Europe,HEPB3,1999,47
Western Europe,HIB3,1999,68
Western Europe,MCV1,1999,88
Western Europe,POL3,1999,95
Western Europe,RCV1,1999,88
Western Europe,BCG,2000,86
Western Europe,DTP1,2000,98
Western Europe,DTP3,2000,93
Western Europe,HEPB3,2000,49
Western Europe,HEPBB,2000,10
Western Europe,HIB3,2000,76
Western Europe,MCV1,2000,88
Western Europe,MCV2,2000,31
Western Europe,POL3,2000,95
Western Europe,RCV1,2000,88
Western Europe,BCG,2001,86
Western Europe,DTP1,2001,98
Western Europe,DTP3,2001,95
Western Europe,HEPB3,2001,50
Western Europe,HEPBB,2001,10
Western Europe,HIB3,2001,79
Western Europe,MCV1,2001,89
Western Europe,MCV2,2001,34
Western Europe,POL3,2001,95
Western Europe,RCV1,2001,89
Western Europe,BCG,2002,86
Western Europe,DTP1,2002,98
Western Europe,DTP3,2002,95
Western Europe,HEPB3,2002,53
Western Europe,HEPBB,2002,10
Western Europe,HIB3,2002,83
Western Europe,MCV1,2002,90
Western Europe,MCV2,2002,49
Western Europe,POL3,2002,96
Western Europe,RCV1,2002,90
Western Europe,BCG,2003,85
Western Europe,DTP1,2003,98
Western Europe,DTP3,2003,96
Western Europe,HEPB3,2003,54
Western Europe,HEPBB,2003,10
Western Europe,HIB3,2003,84
Western Europe,MCV1,2003,90
Western Europe,MCV2,2003,50
Western Europe,POL3,2003,96
Western Europe,RCV1,2003,90
Western Europe,BCG,2004,84
Western Europe,DTP1,2004,98
Western Europe,DTP3,2004,96
Western Europe,HEPB3,2004,57
Western Europe,HEPBB,2004,10
Western Europe,HIB3,2004,87
Western Europe,MCV1,2004,91
Western Europe,MCV2,2004,58
Western Europe,POL3,2004,96
Western Europe,RCV1,2004,91
Western Europe,BCG,2005,83
Western Europe,DTP1,2005,98
Western Europe,DTP3,2005,95
Western Europe,HEPB3,2005,57
Western Europe,HEPBB,2005,10
Western Europe,HIB3,2005,88
Western Europe,MCV1,2005,91
Western Europe,MCV2,2005,58
Western Europe,POL3,2005,96
Western Europe,RCV1,2005,91
Western Europe,BCG,2006,84
Western Europe,DTP1,2006,98
Western Europe,DTP3,2006,96
Western Europe,HEPB3,2006,58
Western Europe,HEPBB,2006,10
Western Europe,HIB3,2006,90
Western Europe,MCV1,2006,92
Western Europe,MCV2,2006,61
Western Europe,POL3,2006,96
Western Europe,RCV1,2006,92
Western Europe,ROTAC,2006,0
Western Europe,BCG,2007,81
Western Europe,DTP1,2007,98
Western Europe,DTP3,2007,96
Western Europe,HEPB3,2007,58
Western Europe,HEPBB,2007,10
Western Europe,HIB3,2007,94
Western Europe,MCV1,2007,93
Western Europe,MCV2,2007,62
Western Europe,POL3,2007,96
Western Europe,RCV1,2007,93
Western Europe,ROTAC,2007,0
Western Europe,BCG,2008,84
Western Europe,DTP1,2008,98
Western Europe,DTP3,2008,96
Western Europe,HEPB3,2008,59
Western Europe,HEPBB,2008,10
Western Europe,HIB3,2008,95
Western Europe,MCV1,2008,93
Western Europe,MCV2,2008,62
Western Europe,PCV3,2008,18
Western Europe,POL3,2008,96
Western Europe,RCV1,2008,93
Western Europe,ROTAC,2008,1
Western Europe,BCG,2009,83
Western Europe,DTP1,2009,98
Western Europe,DTP3,2009,96
Western Europe,HEPB3,2009,59
Western Europe,HEPBB,2009,10
Western Europe,HIB3,2009,95
Western Europe,MCV1,2009,93
Western Europe,MCV2,2009,62
Western Europe,PCV3,2009,27
Western Europe,POL3,2009,96
Western Europe,RCV1,2009,93
Western Europe,ROTAC,2009,1
Western Europe,BCG,2010,81
Western Europe,DTP1,2010,98
Western Europe,DTP3,2010,97
Western Europe,HEPB3,2010,62
Western Europe,HEPBB,2010,10
Western Europe,HIB3,2010,95
Western Europe,MCV1,2010,93
Western Europe,MCV2,2010,73
Western Europe,PCV3,2010,58
Western Europe,POL3,2010,96
Western Europe,RCV1,2010,93
Western Europe,ROTAC,2010,2
Western Europe,BCG,2011,82
Western Europe,DTP1,2011,98
Western Europe,DTP3,2011,97
Western Europe,HEPB3,2011,65
Western Europe,HEPBB,2011,10
Western Europe,HIB3,2011,96
Western Europe,MCV1,2011,93
Western Europe,MCV2,2011,74
Western Europe,PCV3,2011,62
Western Europe,POL3,2011,96
Western Europe,RCV1,2011,93
Western Europe,ROTAC,2011,2
Western Europe,BCG,2012,82
Western Europe,DTP1,2012,99
Western Europe,DTP3,2012,97
Western Europe,HEPB3,2012,66
Western Europe,HEPBB,2012,9
Western Europe,HIB3,2012,96
Western Europe,MCV1,2012,94
Western Europe,MCV2,2012,76
Western Europe,PCV3,2012,66
Western Europe,POL3,2012,96
Western Europe,RCV1,2012,94
Western Europe,ROTAC,2012,4
Western Europe,BCG,2013,78
Western Europe,DTP1,2013,98
Western Europe,DTP3,2013,96
Western Europe,HEPB3,2013,67
Western Europe,HEPBB,2013,9
Western Europe,HIB3,2013,96
Western Europe,MCV1,2013,94
Western Europe,MCV2,2013,85
Western Europe,PCV3,2013,67
Western Europe,POL3,2013,96
Western Europe,RCV1,2013,94
Western Europe,ROTAC,2013,4
Western Europe,BCG,2014,77
Western Europe,DTP1,2014,98
Western Europe,DTP3,2014,96
Western Europe,HEPB3,2014,69
Western Europe,HEPBB,2014,9
Western Europe,HIB3,2014,96
Western Europe,MCV1,2014,94
Western Europe,MCV2,2014,86
Western Europe,PCV3,2014,68
Western Europe,POL3,2014,96
Western Europe,RCV1,2014,94
Western Europe,ROTAC,2014,14
Western Europe,BCG,2015,71
Western Europe,DTP1,2015,98
Western Europe,DTP3,2015,96
Western Europe,HEPB3,2015,70
Western Europe,HEPBB,2015,9
Western Europe,HIB3,2015,95
Western Europe,MCV1,2015,94
Western Europe,MCV2,2015,86
Western Europe,PCV3,2015,69
Western Europe,POL3,2015,95
Western Europe,RCV1,2015,94
Western Europe,ROTAC,2015,29
Western Europe,BCG,2016,71
Western Europe,DTP1,2016,98
Western Europe,DTP3,2016,95
Western Europe,HEPB3,2016,70
Western Europe,HEPBB,2016,9
Western Europe,HIB3,2016,95
Western Europe,MCV1,2016,94
Western Europe,MCV2,2016,87
Western Europe,PCV3,2016,71
Western Europe,POL3,2016,95
Western Europe,RCV1,2016,94
Western Europe,ROTAC,2016,30
Western Europe,BCG,2017,68
Western Europe,DTP1,2017,98
Western Europe,DTP3,2017,95
Western Europe,HEPB3,2017,71
Western Europe,HEPBB,2017,9
Western Europe,HIB3,2017,94
Western Europe,MCV1,2017,94
Western Europe,MCV2,2017,88
Western Europe,PCV3,2017,80
Western Europe,POL3,2017,94
Western Europe,RCV1,2017,94
Western Europe,ROTAC,2017,33
Western Europe,BCG,2018,68
Western Europe,DTP1,2018,98
Western Europe,DTP3,2018,95
Western Europe,HEPB3,2018,71
Western Europe,HEPBB,2018,9
Western Europe,HIB3,2018,94
Western Europe,MCV1,2018,94
Western Europe,MCV2,2018,88
Western Europe,PCV3,2018,84
Western Europe,POL3,2018,94
Western Europe,RCV1,2018,94
Western Europe,ROTAC,2018,35
Western Europe,BCG,2019,68
Western Europe,DTP1,2019,98
Western Europe,DTP3,2019,95
Western Europe,HEPB3,2019,88
Western Europe,HEPBB,2019,9
Western Europe,HIB3,2019,94
Western Europe,MCV1,2019,94
Western Europe,MCV2,2019,88
Western Europe,PCV3,2019,84
Western Europe,POL3,2019,94
Western Europe,RCV1,2019,94
Western Europe,ROTAC,2019,39
